removed_feature,baseline_accuracy,accuracy,delta_accuracy,baseline_f1,f1,delta_f1,baseline_auc,auc,delta_auc,baseline_top20,top20,delta_top20
atr_14,0.6153846153846154,0.6307692307692307,0.01538461538461533,0.6323529411764706,0.7125748502994012,0.08022190912293059,0.648399052190291,0.6566012515948721,0.008202199404581112,0.65,0.75,0.09999999999999998
volume_momentum_20,0.6153846153846154,0.6307692307692307,0.01538461538461533,0.6323529411764706,0.6571428571428571,0.024789915966386578,0.648399052190291,0.658788504769427,0.010389452579135927,0.65,0.7,0.04999999999999993
trend_regime,0.6153846153846154,0.6307692307692307,0.01538461538461533,0.6323529411764706,0.6546762589928058,0.02232331781633523,0.648399052190291,0.6525305304088949,0.0041314782186038235,0.65,0.7,0.04999999999999993
distance_from_low,0.6153846153846154,0.6269230769230769,0.011538461538461497,0.6323529411764706,0.6523297491039427,0.01997680792747214,0.648399052190291,0.6409866942098549,-0.007412357980436157,0.65,0.7,0.04999999999999993
close_vs_sma20,0.6153846153846154,0.6269230769230769,0.011538461538461497,0.6323529411764706,0.6498194945848376,0.017466553408367003,0.648399052190291,0.660185916519837,0.01178686432954601,0.65,0.65,0.0
rsi_14_lag_1,0.6153846153846154,0.6230769230769231,0.007692307692307665,0.6323529411764706,0.6474820143884892,0.015129073212018618,0.648399052190291,0.6474876967008931,-0.0009113554893979137,0.65,0.7,0.04999999999999993
atr_percent,0.6153846153846154,0.6192307692307693,0.0038461538461538325,0.6323529411764706,0.6425992779783394,0.010246336801868816,0.648399052190291,0.6595783461935719,0.011179294003280882,0.65,0.7,0.04999999999999993
adx_14,0.6153846153846154,0.6192307692307693,0.0038461538461538325,0.6323529411764706,0.6425992779783394,0.010246336801868816,0.648399052190291,0.6460902849504829,-0.002308767239808107,0.65,0.7,0.04999999999999993
stoch_k,0.6153846153846154,0.6230769230769231,0.007692307692307665,0.6323529411764706,0.6423357664233577,0.009982825246887095,0.648399052190291,0.6618263564007533,0.013427304210462232,0.65,0.7,0.04999999999999993
ret_3,0.6153846153846154,0.6230769230769231,0.007692307692307665,0.6323529411764706,0.6423357664233577,0.009982825246887095,0.648399052190291,0.6514976608542439,0.00309860866395284,0.65,0.7,0.04999999999999993
momentum_50,0.6153846153846154,0.6230769230769231,0.007692307692307665,0.6323529411764706,0.6423357664233577,0.009982825246887095,0.648399052190291,0.6577556352147761,0.009356583024485055,0.65,0.65,0.0
ret_1,0.6153846153846154,0.6269230769230769,0.011538461538461497,0.6323529411764706,0.6420664206642066,0.009713479487736043,0.648399052190291,0.6584239625736679,0.010024910383376828,0.65,0.7,0.04999999999999993
sma50_slope,0.6153846153846154,0.6153846153846154,0.0,0.6323529411764706,0.6402877697841727,0.007934828607702116,0.648399052190291,0.655325353909715,0.006926301719423988,0.65,0.7,0.04999999999999993
bb_position,0.6153846153846154,0.6192307692307693,0.0038461538461538325,0.6323529411764706,0.64,0.007647058823529451,0.648399052190291,0.6536241569961723,0.005225104805881231,0.65,0.7,0.04999999999999993
momentum_20,0.6153846153846154,0.6192307692307693,0.0038461538461538325,0.6323529411764706,0.64,0.007647058823529451,0.648399052190291,0.650586305364846,0.002187253174554926,0.65,0.7,0.04999999999999993
ret_2,0.6153846153846154,0.6230769230769231,0.007692307692307665,0.6323529411764706,0.6397058823529411,0.007352941176470562,0.648399052190291,0.6596391032261983,0.011240051035907306,0.65,0.7,0.04999999999999993
rsi_14,0.6153846153846154,0.6115384615384616,-0.0038461538461538325,0.6323529411764706,0.6379928315412187,0.005639890364748101,0.648399052190291,0.6598821313567046,0.011483079166413557,0.65,0.7,0.04999999999999993
close_vs_sma50,0.6153846153846154,0.6192307692307693,0.0038461538461538325,0.6323529411764706,0.6373626373626373,0.005009696186166757,0.648399052190291,0.6526520444741478,0.004252992283856782,0.65,0.7,0.04999999999999993
close_vs_sma200,0.6153846153846154,0.6192307692307693,0.0038461538461538325,0.6323529411764706,0.6373626373626373,0.005009696186166757,0.648399052190291,0.6491281365818093,0.0007290843915183087,0.65,0.6,-0.050000000000000044
ret_50,0.6153846153846154,0.6230769230769231,0.007692307692307665,0.6323529411764706,0.6370370370370371,0.004684095860566506,0.648399052190291,0.6531988577677865,0.004799805577495486,0.65,0.7,0.04999999999999993
ret_20,0.6153846153846154,0.6153846153846154,0.0,0.6323529411764706,0.6323529411764706,0.0,0.648399052190291,0.6513153897563643,0.002916337566073235,0.65,0.7,0.04999999999999993
macd_percent,0.6153846153846154,0.6153846153846154,0.0,0.6323529411764706,0.6323529411764706,0.0,0.648399052190291,0.6525912874415214,0.0041922352512303585,0.65,0.7,0.04999999999999993
sma200_slope,0.6153846153846154,0.6153846153846154,0.0,0.6323529411764706,0.6323529411764706,0.0,0.648399052190291,0.6437207606780484,-0.004678291512242638,0.65,0.7,0.04999999999999993
momentum_10,0.6153846153846154,0.6153846153846154,0.0,0.6323529411764706,0.6323529411764706,0.0,0.648399052190291,0.6557506531381007,0.007351600947809622,0.65,0.7,0.04999999999999993
volume_ratio_20,0.6153846153846154,0.6153846153846154,0.0,0.6323529411764706,0.6323529411764706,0.0,0.648399052190291,0.6537456710614253,0.005346618871134301,0.65,0.7,0.04999999999999993
ret_10,0.6153846153846154,0.6115384615384616,-0.0038461538461538325,0.6323529411764706,0.63003663003663,-0.0023163111398405434,0.648399052190291,0.6528950726046541,0.004496020414363033,0.65,0.7,0.04999999999999993
volatility_regime,0.6153846153846154,0.6230769230769231,0.007692307692307665,0.6323529411764706,0.6287878787878788,-0.0035650623885917776,0.648399052190291,0.6813293638738683,0.032930311683577296,0.65,0.7,0.04999999999999993
stoch_d,0.6153846153846154,0.6038461538461538,-0.011538461538461608,0.6323529411764706,0.6254545454545455,-0.006898395721925077,0.648399052190291,0.6510723616258582,0.002673309435567206,0.65,0.65,0.0
ret_5,0.6153846153846154,0.6115384615384616,-0.0038461538461538325,0.6323529411764706,0.6245353159851301,-0.007817625191340438,0.648399052190291,0.6510116045932316,0.00261255240294056,0.65,0.7,0.04999999999999993
sma20_slope,0.6153846153846154,0.6,-0.015384615384615441,0.6323529411764706,0.6204379562043796,-0.01191498497209098,0.648399052190291,0.6525912874415214,0.0041922352512303585,0.65,0.65,0.0
distance_from_high,0.6153846153846154,0.6038461538461538,-0.011538461538461608,0.6323529411764706,0.6142322097378277,-0.0181207314386429,0.648399052190291,0.6545962695181968,0.006197217327905791,0.65,0.5,-0.15000000000000002
macd_hist_percent,0.6153846153846154,0.6038461538461538,-0.011538461538461608,0.6323529411764706,0.6142322097378277,-0.0181207314386429,0.648399052190291,0.6593353180630658,0.010936265872774742,0.65,0.7,0.04999999999999993
bb_width,0.6153846153846154,0.6038461538461538,-0.011538461538461608,0.6323529411764706,0.6142322097378277,-0.0181207314386429,0.648399052190291,0.6325414666747675,-0.01585758551552352,0.65,0.5,-0.15000000000000002
volatility_20,0.6153846153846154,0.6,-0.015384615384615441,0.6323529411764706,0.6090225563909775,-0.023330384785493097,0.648399052190291,0.6516191749194971,0.003220122729206021,0.65,0.7,0.04999999999999993
volume_volatility,0.6153846153846154,0.5653846153846154,-0.050000000000000044,0.6323529411764706,0.5767790262172284,-0.05557391495924213,0.648399052190291,0.6236101828786682,-0.02478886931162283,0.65,0.55,-0.09999999999999998
momentum_100,0.6153846153846154,0.5653846153846154,-0.050000000000000044,0.6323529411764706,0.5670498084291188,-0.06530313274735178,0.648399052190291,0.6245215383680661,-0.023877513822224916,0.65,0.7,0.04999999999999993
