Feature,Importance
close,0.4165724362290388
low,0.28573642019569334
open,0.13806675039506452
close_lag_2,0.07131471134829669
close_lag_1,0.04853020829522035
high,0.019205421641945077
close_lag_10,0.015492482436371212
close_lag_3,0.0021609544763566695
close_lag_5,0.0017990280529581015
macd_signal,0.00041736398779345507
ret_1,8.24622167620682e-05
ret_50,7.558235267053084e-05
atr_14,5.008568795346314e-05
volatility_20,4.9085829419294905e-05
volume_lag_5,4.873033778753977e-05
macd_signal_lag_1,4.446761038847255e-05
ret_10,3.548031842643981e-05
volume_lag_1,3.494231897515418e-05
ret_20,3.2919636271739724e-05
ret_5,3.210433074160697e-05
stoch_k,3.0248918536648952e-05
macd,2.875442372264818e-05
ret_3,2.7354494403940228e-05
ret_2,2.5371418061359502e-05
rsi_14,2.4981938925547222e-05
macd_lag_1,2.331576053409297e-05
rsi_14_lag_1,2.0999080692915962e-05
volume,2.075004930580511e-05
stoch_d,1.658621768265667e-05
